,,,,,,,,,,,,,,,
Product Backlog ID,Source,Priority (M/S/C/W),User Story ID,User Story Name,User  ,Scrum Team Assigned,Complexity,Risk/ Impact,Type,,,,,,
,,,,,,,,,,,,,,,
This column is used to uniquely identify each row on this worksheet. User Stories in a given Sprint are traced back to the Product Backlog using the User Story ID to the details on the Sprint Backlog Product Backlog ID,"This column documents the source from which the expanded requirement came (e.g., statement of work, change request, work session, standards document etc.). Source","Column to prioritize requirements using MoSCoW) - Must Have, Should Have, Could Have, Won't Have Priority (M/S/C/W)","Column for uniquely identifying the use case, Originates from Use case Model [RA.023] When used Corresponds to a use case number on the Use Case Catalog sheet. Note - Requirements satisfied by COTS applications that are defined in SOW are assigned a use case in order to create traceability. Not required for requirements satisfied by the COTS App that are not in SOW. User Story ID",Brief description of the requirements necessary to fulfill the objective User Story Name,Column used to identify owner of requirement as defined by SOW and/or supporting documentation. Defined assumptions are treated as requirements owned by designated party. User,Column used to identify owner of requirement as defined by SOW and/or supporting documentation. Defined assumptions are treated as requirements owned by designated party. Scrum Team Assigned,Complexity of the functional requirement. Very Simple Simple Average Complex Very Complex Complexity,"Technical, Organizational, External project risk associated with the requirement. This is further detailed in the Project Risk Management Plan. What is the probability that something will go wrong in meeting the requirement? A risk might happen, or it might not; there is some uncertainty. Use H (High), M (Medium), L (Low). Risk/ Impact","Defines whether the User Story is Functional, Non-Functional or Technical type.  Type",This column is used to link the User Story to the User Acceptance test scenarios that validate the requirement was satisfied. User Acceptance Test Case ID,"This column is used to provide supporting information, such as changes to the original requirement.  Comments",,,,
1,Standard document,High,PECUNIABANK:001,Design Documentation for Backend application,Ganesh,Ganesh,Average,Low,Non-Functional,Design is fullfilled agaist Business requirement,,,,,
2,Standard document,High,PECUNIABANK:002,Bootstraping the project,Ganesh,Ganesh,Low,,Non-Functional,Checking Against the Application Setup and ensure the equired dependencies and run the main code and check the server is tarted without errors,,,,,
3,Standard document,,PECUNIABANK:003,Account,Ganesh,Ganesh,,High,Functional,Designing the user cases against Business requirement,,,,,
4,Standard document,High,PECUNIABANK:004,Transaction,Ganesh,Ganesh,Complex,Low,Functional,Designing the user cases against Business requirement,,,,,
5,Standard document,High,PECUNIABANK:005,Loan,Ganesh,Ganesh,Complex,High,Functional,Designing the user cases against Business requirement,,,,,
6,Standard document,High,PECUNIABANK:006,Passbook,Ganesh,Ganesh,Complex,High,Functional,Designing the user cases against Business requirement,,,,,
7,Work session,High,PECUNIABANK:007,Populating test data in database,Ganesh,Ganesh,Simple,,Non-Functional,,,,,,
8,Work session,High,PECUNIABANK:008,Testing all the functionalities in postman whether all are working or not,Ganesh,Ganesh,Complex,High,Non-Functional,,,,,,
10,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,
Sprint 2,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,
